File Name,13-L,13-R,14-L,14-R
2026-04-04T18.32.27.7883897-LN1720E038-8281-DMT116-TZJ501-DMTDUMMY.xml,93.1,105.6,61.9,51.7
2026-04-04T21.57.53.9889765-LN1720E009-8281-DMT103-TZJ501-DMTDUMMY.xml,103.4,108.1,71.9,60.3
2026-04-05T07.51.01.2237500-LN1720E037-8281-DMT102-TZJ501-DMTDUMMY.xml,107.9,114.2,75.1,67.1
2026-04-05T09.32.55.8178144-LN1718SS16-8333-DMT103-TZJ501-DMTDUMMY.xml,19.4,27.8,21.2,6.4
2026-04-05T13.29.27.4175562-LN1718SS40-8333-DMT116-TZJ501-DMTDUMMY.xml,-12.1,-5.3,-6.5,-17.4
2026-04-05T20.25.08.0651691-LN1718SS48-8333-DMT102-TZJ501-DMTDUMMY.xml,-14.6,-9.0,-8.9,-15.3
2026-04-06T15.21.48.5477947-LN1718SS15-8333-DMT103-TZJ501-DMTDUMMY.xml,-18.8,-18.1,-17.1,-26.2
2026-04-06T16.29.43.5387245-LN1718SS15-8333-DMT103-TZJ501-DMTDUMMY.xml,-16.4,-17.5,-19.8,-27.6
